timestamp,82873_mb,83187_mb,83600_mb
2025-06-04 10:18:09,1588.66,1609.75,1769.22
2025-06-04 10:18:15,1588.66,1609.75,1769.22
2025-06-04 10:18:20,3116.02,1609.75,1769.22
2025-06-04 10:18:25,3117.64,1609.75,1769.22
2025-06-04 10:18:30,4644.86,1609.75,1769.22
2025-06-04 10:18:35,4646.41,1609.75,1769.22
2025-06-04 10:18:41,4649.2,1609.75,1769.22
2025-06-04 10:18:46,4649.2,1609.75,1769.22
2025-06-04 10:18:51,5543.14,1593.12,1704.44
2025-06-04 10:18:56,6169.2,1593.12,1704.44
2025-06-04 10:19:02,6169.16,1593.12,1704.44
2025-06-04 10:19:07,6169.94,1593.12,1704.44
2025-06-04 10:19:12,6169.94,1593.12,1704.44
2025-06-04 10:19:17,6171.48,1593.12,1704.44
2025-06-04 10:19:22,6175.55,1593.12,1704.44
2025-06-04 10:19:28,6177.48,1593.12,1704.44
2025-06-04 10:19:33,6178.58,1593.12,1704.44
2025-06-04 10:19:38,6186.81,1593.12,1704.44
2025-06-04 10:19:43,6186.84,1593.12,1704.44
2025-06-04 10:19:48,6186.73,1593.12,1704.44
2025-06-04 10:19:54,6193.38,1593.12,1704.44
2025-06-04 10:19:59,6194.05,1593.12,1704.44
2025-06-04 10:20:04,6218.02,1593.12,1704.44
2025-06-04 10:20:09,6223.58,1593.12,1704.44
2025-06-04 10:20:14,4714.47,1593.12,1704.44
2025-06-04 10:20:20,4715.53,1593.12,1704.44
2025-06-04 10:20:25,4716.12,1593.12,1704.45
2025-06-04 10:20:30,4740.58,1593.12,1704.45
2025-06-04 10:20:35,4742.66,1593.12,1704.45
2025-06-04 10:20:40,4803.86,1593.12,1704.45
2025-06-04 10:20:46,4803.86,1593.12,1704.45
2025-06-04 10:20:51,4813.39,1593.12,1704.45
2025-06-04 10:20:56,5047.19,1593.12,1704.45
2025-06-04 10:21:01,5047.27,1593.12,1704.45
2025-06-04 10:21:06,3523.19,1593.12,1704.45
2025-06-04 10:21:12,3523.19,1593.12,1704.45
2025-06-04 10:21:17,3523.19,1593.12,1704.45
2025-06-04 10:21:22,3523.19,1593.12,1704.45
2025-06-04 10:21:27,3523.19,1593.12,1704.45
2025-06-04 10:21:33,3523.19,1593.12,1704.45
2025-06-04 10:21:38,3523.19,1593.12,1704.45
2025-06-04 10:21:43,3523.19,1593.12,1704.45
2025-06-04 10:21:48,3523.08,1593.12,1704.45
2025-06-04 10:21:53,3523.08,1593.12,1704.45
2025-06-04 10:21:59,3523.08,1593.12,1704.45
2025-06-04 10:22:04,3523.08,1593.12,1704.45
2025-06-04 10:22:09,3523.17,1593.12,1704.45
2025-06-04 10:22:14,3523.17,1593.12,1704.45
2025-06-04 10:22:19,3523.08,1593.12,1704.45
2025-06-04 10:22:25,3523.08,1593.12,1704.45
2025-06-04 10:22:30,3523.08,1593.12,1704.45
2025-06-04 10:22:35,3523.08,1593.12,1704.45
2025-06-04 10:22:40,3523.17,1593.12,3231.89
2025-06-04 10:22:45,3523.17,1593.12,3234.27
2025-06-04 10:22:51,3523.08,1584.55,4149.19
2025-06-04 10:22:56,3523.08,1584.55,4150.66
2025-06-04 10:23:01,3523.08,1581.39,4759.58
2025-06-04 10:23:06,3523.08,1581.39,4761.39
